Function              Calls     TotSec   Sec/Call
load_data                 1   0.002118   0.002118
overallocation       1452550   7.749215   0.000005
conflicts            1452550  24.933472   0.000017
undersupport         1452550   5.896267   0.000004
unavailable          1452550  14.624295   0.000010
unpreferred          1452550  14.297552   0.000010
swapper              290461   0.881451   0.000003
destroy_unavailable  290328   5.017284   0.000017
repair_unpreferred_agent 290616  17.211002   0.000059
repair_overallocation_agent 290272   2.756221   0.000009
repair_conflicts_agent 290872  17.856066   0.000061
evolve                    1 300.000717 300.000717
